hyp	c_O	c_notO	delta	likelihood	prior	posterior
hyp0	13	8	-5	0.0067	1.0000	0.0042
hyp1	11	8	-3	0.0474	1.0000	0.0298
hyp2	11	6	-5	0.0067	1.0000	0.0042
hyp3	11	6	-5	0.0067	1.0000	0.0042
hyp4	12	10	-2	0.1192	1.0000	0.0748
hyp5	11	4	-7	0.0009	1.0000	0.0006
hyp6	13	10	-3	0.0474	1.0000	0.0298
hyp7	11	8	-3	0.0474	1.0000	0.0298
hyp8	13	10	-3	0.0474	1.0000	0.0298
hyp9	13	8	-5	0.0067	1.0000	0.0042
hyp10	11	8	-3	0.0474	1.0000	0.0298
hyp11	13	10	-3	0.0474	1.0000	0.0298
hyp12	11	6	-5	0.0067	1.0000	0.0042
hyp13	inf	10	-	0.0000	1.0000	0.0000
hyp14	13	10	-3	0.0474	1.0000	0.0298
hyp15	14	14	0	0.5000	1.0000	0.3137
hyp16	10	10	0	0.5000	1.0000	0.3137
hyp17	11	6	-5	0.0067	1.0000	0.0042
hyp18	11	6	-5	0.0067	1.0000	0.0042
hyp19	11	8	-3	0.0474	1.0000	0.0298
hyp20	13	10	-3	0.0474	1.0000	0.0298
